name of company,college name,region,year,Salary
XORIANT,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,657673
XORIANT,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,657673
XORIANT,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,446973
QUINNOX,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,446973
QUINNOX,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,446973
QUINNOX,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,446973
QUINNOX,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,446973
QUINNOX,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,446973
QUINNOX,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,446973
QUINNOX,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,446973
QUINNOX,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,446973
QUINNOX,MIT COLLEGE OF ENGINEERING,PUNE,2018,788735
INDUS VALLEY PARTNERS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,788735
INDUS VALLEY PARTNERS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,788735
INDUS VALLEY PARTNERS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,788735
INDUS VALLEY PARTNERS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,788735
INDUS VALLEY PARTNERS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,29996
IGATE,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,29996
IGATE,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,29996
IGATE,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,30641
HEXAWARE TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,30641
HEXAWARE TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,30641
HEXAWARE TECHNOLOGIES,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,30641
HEXAWARE TECHNOLOGIES,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,760901
MAQ SOFTWARE,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,760901
MAQ SOFTWARE,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,760901
MAQ SOFTWARE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,1656475
DIRECTI,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,1656475
DIRECTI,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,1656475
DIRECTI,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,1656475
DIRECTI,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,1656475
DIRECTI,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,1656475
DIRECTI,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,25600
ATOS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,25600
ATOS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,25600
ATOS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,25600
ATOS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,25600
ATOS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,25600
ATOS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,25600
ATOS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015,25600
ATOS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,25600
ATOS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,25600
ATOS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,25600
ATOS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,710194
MPHASIS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,710194
MPHASIS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,710194
MPHASIS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,710194
MPHASIS,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,710194
MPHASIS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,710194
MPHASIS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,710194
MPHASIS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,710194
MPHASIS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017,482653
WIPRO,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,482653
WIPRO,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,482653
WIPRO,COLLEGE OF ENGINEERING PUNE,PUNE,2018,482653
WIPRO,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,482653
WIPRO,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,482921
NEOSOFT TECHNOLOGIES,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,482921
NEOSOFT TECHNOLOGIES,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,470498
INFOSYS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,470498
INFOSYS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,470498
INFOSYS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,470498
INFOSYS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,470498
INFOSYS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,470498
INFOSYS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,470498
INFOSYS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,470498
INFOSYS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,470498
INFOSYS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,470498
INFOSYS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,470498
INFOSYS,COLLEGE OF ENGINEERING PUNE,PUNE,2018,470498
INFOSYS,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,470498
INFOSYS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,470498
INFOSYS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,470498
INFOSYS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,470498
INFOSYS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015,470498
INFOSYS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,636636
RAVE TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,636636
RAVE TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,415614
INFOGAIN,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,415614
INFOGAIN,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,225812
NUCSOFT,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,225812
NUCSOFT,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,225812
NUCSOFT,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,225812
NUCSOFT,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,225812
NUCSOFT,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,225812
